"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50237.794429,
"AUS","GDP","TOT","USD_CAP","A","2017",50853.615427,
"AUS","GDP","TOT","USD_CAP","A","2018",53083.298192,
"AUS","GDP","TOT","USD_CAP","A","2019",53078.965373,
"AUS","GDP","TOT","USD_CAP","A","2020",52102.045295,"E"
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54185.337013,
"AUT","GDP","TOT","USD_CAP","A","2018",57068.534815,
"AUT","GDP","TOT","USD_CAP","A","2019",58664.718719,
"AUT","GDP","TOT","USD_CAP","A","2020",55663.640836,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52662.767819,
"BEL","GDP","TOT","USD_CAP","A","2019",54709.354773,
"BEL","GDP","TOT","USD_CAP","A","2020",51873.230346,"P"
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48316.716527,
"CAN","GDP","TOT","USD_CAP","A","2018",50239.988278,
"CAN","GDP","TOT","USD_CAP","A","2019",50660.587438,
"CAN","GDP","TOT","USD_CAP","A","2020",48423.68354,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41147.631528,
"CZE","GDP","TOT","USD_CAP","A","2019",43015.814745,
"CZE","GDP","TOT","USD_CAP","A","2020",41134.931169,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57459.169626,
"DNK","GDP","TOT","USD_CAP","A","2019",60308.072261,
"DNK","GDP","TOT","USD_CAP","A","2020",59842.327077,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49749.057567,
"FIN","GDP","TOT","USD_CAP","A","2019",51556.59032,
"FIN","GDP","TOT","USD_CAP","A","2020",50247.399815,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44480.722199,
"FRA","GDP","TOT","USD_CAP","A","2018",46456.107107,"P"
"FRA","GDP","TOT","USD_CAP","A","2019",49225.564402,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",45494.488417,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",52952.897774,
"DEU","GDP","TOT","USD_CAP","A","2018",54954.68658,
"DEU","GDP","TOT","USD_CAP","A","2019",55891.15984,
"DEU","GDP","TOT","USD_CAP","A","2020",53874.277189,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27471.218206,
"GRC","GDP","TOT","USD_CAP","A","2017",28644.977147,
"GRC","GDP","TOT","USD_CAP","A","2018",29680.902369,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",30869.249859,"P"
"GRC","GDP","TOT","USD_CAP","A","2020",28389.13061,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",27911.664733,
"HUN","GDP","TOT","USD_CAP","A","2017",29465.126306,
"HUN","GDP","TOT","USD_CAP","A","2018",31831.981048,
"HUN","GDP","TOT","USD_CAP","A","2019",33956.821868,"P"
"HUN","GDP","TOT","USD_CAP","A","2020",33618.934605,"P"
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"ISL","GDP","TOT","USD_CAP","A","2018",58225.804712,
"ISL","GDP","TOT","USD_CAP","A","2019",60075.684325,
"ISL","GDP","TOT","USD_CAP","A","2020",55967.237695,"E"
"IRL","GDP","TOT","USD_CAP","A","2016",71793.28924,
"IRL","GDP","TOT","USD_CAP","A","2017",78739.398464,
"IRL","GDP","TOT","USD_CAP","A","2018",85027.004221,
"IRL","GDP","TOT","USD_CAP","A","2019",89561.463935,
"IRL","GDP","TOT","USD_CAP","A","2020",90182.804579,
"ITA","GDP","TOT","USD_CAP","A","2016",39926.966169,
"ITA","GDP","TOT","USD_CAP","A","2017",41581.131252,
"ITA","GDP","TOT","USD_CAP","A","2018",43097.264517,
"ITA","GDP","TOT","USD_CAP","A","2019",44397.556124,
"ITA","GDP","TOT","USD_CAP","A","2020",41108.214758,
"JPN","GDP","TOT","USD_CAP","A","2016",39983.643655,
"JPN","GDP","TOT","USD_CAP","A","2017",40992.39323,
"JPN","GDP","TOT","USD_CAP","A","2018",41724.030341,
"JPN","GDP","TOT","USD_CAP","A","2019",42239.047617,"E"
"KOR","GDP","TOT","USD_CAP","A","2016",39575.302078,
"KOR","GDP","TOT","USD_CAP","A","2017",40957.347064,
"KOR","GDP","TOT","USD_CAP","A","2018",42486.739807,
"KOR","GDP","TOT","USD_CAP","A","2019",42728.031736,"P"
"KOR","GDP","TOT","USD_CAP","A","2020",42699.526766,"E"
"LUX","GDP","TOT","USD_CAP","A","2016",110260.934439,
"LUX","GDP","TOT","USD_CAP","A","2017",112187.731906,
"LUX","GDP","TOT","USD_CAP","A","2018",116480.803842,
"LUX","GDP","TOT","USD_CAP","A","2019",120670.500099,
"LUX","GDP","TOT","USD_CAP","A","2020",117613.939943,
"MEX","GDP","TOT","USD_CAP","A","2016",19516.145022,
"MEX","GDP","TOT","USD_CAP","A","2017",19947.197691,
"MEX","GDP","TOT","USD_CAP","A","2018",20518.580821,"P"
"MEX","GDP","TOT","USD_CAP","A","2019",20739.308737,"P"
"MEX","GDP","TOT","USD_CAP","A","2020",19161.750547,"E"
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NLD","GDP","TOT","USD_CAP","A","2017",55089.58143,
"NLD","GDP","TOT","USD_CAP","A","2018",57899.824961,"P"
"NLD","GDP","TOT","USD_CAP","A","2019",59468.672811,"P"
"NLD","GDP","TOT","USD_CAP","A","2020",57609.065456,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",39719.042939,
"NZL","GDP","TOT","USD_CAP","A","2017",42074.660571,
"NZL","GDP","TOT","USD_CAP","A","2018",43738.114648,
"NZL","GDP","TOT","USD_CAP","A","2019",44612.279404,
"NZL","GDP","TOT","USD_CAP","A","2020",43635.943774,"E"
"NOR","GDP","TOT","USD_CAP","A","2016",58923.240139,
"NOR","GDP","TOT","USD_CAP","A","2017",64050.366694,
"NOR","GDP","TOT","USD_CAP","A","2018",69709.381608,
"NOR","GDP","TOT","USD_CAP","A","2019",68343.740792,
"NOR","GDP","TOT","USD_CAP","A","2020",68213.724897,
"POL","GDP","TOT","USD_CAP","A","2016",27985.340009,
"POL","GDP","TOT","USD_CAP","A","2017",29714.590984,
"POL","GDP","TOT","USD_CAP","A","2018",31613.688164,
"POL","GDP","TOT","USD_CAP","A","2019",33858.276341,
"POL","GDP","TOT","USD_CAP","A","2020",33453.582783,"P"
"PRT","GDP","TOT","USD_CAP","A","2016",31607.610185,
"PRT","GDP","TOT","USD_CAP","A","2017",33044.70015,
"PRT","GDP","TOT","USD_CAP","A","2018",34931.85988,
"PRT","GDP","TOT","USD_CAP","A","2019",36871.738281,"P"
"PRT","GDP","TOT","USD_CAP","A","2020",34197.80567,"E"
"SVK","GDP","TOT","USD_CAP","A","2016",29659.331169,
"SVK","GDP","TOT","USD_CAP","A","2017",30082.484108,
"SVK","GDP","TOT","USD_CAP","A","2018",31509.439604,
"SVK","GDP","TOT","USD_CAP","A","2019",32562.554072,
"SVK","GDP","TOT","USD_CAP","A","2020",31443.368971,
"ESP","GDP","TOT","USD_CAP","A","2016",37313.634913,
"ESP","GDP","TOT","USD_CAP","A","2017",39580.188366,
"ESP","GDP","TOT","USD_CAP","A","2018",40780.287322,"P"
"ESP","GDP","TOT","USD_CAP","A","2019",42211.809525,"P"
"ESP","GDP","TOT","USD_CAP","A","2020",37933.262916,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",50430.174559,
"SWE","GDP","TOT","USD_CAP","A","2017",51947.942867,
"SWE","GDP","TOT","USD_CAP","A","2018",53553.312077,
"SWE","GDP","TOT","USD_CAP","A","2019",55337.872219,
"SWE","GDP","TOT","USD_CAP","A","2020",53999.804045,
"CHE","GDP","TOT","USD_CAP","A","2016",68105.138178,
"CHE","GDP","TOT","USD_CAP","A","2017",69103.567686,
"CHE","GDP","TOT","USD_CAP","A","2018",71705.600337,
"CHE","GDP","TOT","USD_CAP","A","2019",73114.493516,
"CHE","GDP","TOT","USD_CAP","A","2020",71026.477429,"P"
"TUR","GDP","TOT","USD_CAP","A","2016",26695.909373,
"TUR","GDP","TOT","USD_CAP","A","2017",28193.061398,
"TUR","GDP","TOT","USD_CAP","A","2018",28263.241827,
"TUR","GDP","TOT","USD_CAP","A","2019",27599.829476,
"TUR","GDP","TOT","USD_CAP","A","2020",28648.424281,"P"
"GBR","GDP","TOT","USD_CAP","A","2016",44125.534988,
"GBR","GDP","TOT","USD_CAP","A","2017",45757.778123,
"GBR","GDP","TOT","USD_CAP","A","2018",47163.170633,
"GBR","GDP","TOT","USD_CAP","A","2019",48542.092734,
"GBR","GDP","TOT","USD_CAP","A","2020",43881.871946,
"USA","GDP","TOT","USD_CAP","A","2016",58000.888034,
"USA","GDP","TOT","USD_CAP","A","2017",60091.568784,
"USA","GDP","TOT","USD_CAP","A","2018",63043.046469,
"USA","GDP","TOT","USD_CAP","A","2019",65240.379025,
"USA","GDP","TOT","USD_CAP","A","2020",63415.033076,"E"
"CHL","GDP","TOT","USD_CAP","A","2016",23349.677001,
"CHL","GDP","TOT","USD_CAP","A","2017",24402.005375,
"CHL","GDP","TOT","USD_CAP","A","2018",24686.142367,
"CHL","GDP","TOT","USD_CAP","A","2019",25856.985466,
"CHL","GDP","TOT","USD_CAP","A","2020",24502.94567,"E"
"CHN","GDP","TOT","USD_CAP","A","2016",13532.915183,
"CHN","GDP","TOT","USD_CAP","A","2017",14306.396116,
"COL","GDP","TOT","USD_CAP","A","2016",14054.69606,
"COL","GDP","TOT","USD_CAP","A","2017",14479.812544,
"COL","GDP","TOT","USD_CAP","A","2018",15256.201618,
"COL","GDP","TOT","USD_CAP","A","2019",16077.321381,"P"
"COL","GDP","TOT","USD_CAP","A","2020",15005.515379,"E"
"EST","GDP","TOT","USD_CAP","A","2016",31574.446846,
"EST","GDP","TOT","USD_CAP","A","2017",33902.097344,
"EST","GDP","TOT","USD_CAP","A","2018",36406.04542,
"EST","GDP","TOT","USD_CAP","A","2019",38880.845059,
"EST","GDP","TOT","USD_CAP","A","2020",38359.249172,
"IND","GDP","TOT","USD_CAP","A","2016",5901.21084,
"IDN","GDP","TOT","USD_CAP","A","2016",10610.141435,
"IDN","GDP","TOT","USD_CAP","A","2017",11050.882373,
"ISR","GDP","TOT","USD_CAP","A","2016",37806.427116,
"ISR","GDP","TOT","USD_CAP","A","2017",38849.910298,
"ISR","GDP","TOT","USD_CAP","A","2018",40351.274189,
"ISR","GDP","TOT","USD_CAP","A","2019",41964.735422,
"ISR","GDP","TOT","USD_CAP","A","2020",40732.276453,"E"
"RUS","GDP","TOT","USD_CAP","A","2016",24128.081806,
"RUS","GDP","TOT","USD_CAP","A","2017",25926.431403,
"RUS","GDP","TOT","USD_CAP","A","2018",28681.779438,
"RUS","GDP","TOT","USD_CAP","A","2019",29188.845686,
"SVN","GDP","TOT","USD_CAP","A","2016",33942.76789,
"SVN","GDP","TOT","USD_CAP","A","2017",36515.702826,
"SVN","GDP","TOT","USD_CAP","A","2018",38952.0625,
"SVN","GDP","TOT","USD_CAP","A","2019",41181.425696,
"SVN","GDP","TOT","USD_CAP","A","2020",38727.415299,
"ZAF","GDP","TOT","USD_CAP","A","2016",12724.643279,
"ZAF","GDP","TOT","USD_CAP","A","2017",12810.965544,
"OECD","GDP","TOT","USD_CAP","A","2016",41821.526852,
"OECD","GDP","TOT","USD_CAP","A","2017",43432.409289,
"OECD","GDP","TOT","USD_CAP","A","2018",45153.48959,"E"
"OECD","GDP","TOT","USD_CAP","A","2019",46381.08748,"E"
"OECD","GDP","TOT","USD_CAP","A","2020",44547.146805,"E"
"OECDE","GDP","TOT","USD_CAP","A","2016",40561.886245,
"OECDE","GDP","TOT","USD_CAP","A","2017",42481.403506,
"OECDE","GDP","TOT","USD_CAP","A","2018",44124.823739,"P"
"OECDE","GDP","TOT","USD_CAP","A","2019",45443.645584,"P"
"OECDE","GDP","TOT","USD_CAP","A","2020",43227.458782,"E"
"LVA","GDP","TOT","USD_CAP","A","2016",26712.835239,
"LVA","GDP","TOT","USD_CAP","A","2017",28666.003742,
"LVA","GDP","TOT","USD_CAP","A","2018",30814.222639,
"LVA","GDP","TOT","USD_CAP","A","2019",32013.343219,
"LVA","GDP","TOT","USD_CAP","A","2020",31367.284335,
"BRA","GDP","TOT","USD_CAP","A","2016",14326.10209,
"BRA","GDP","TOT","USD_CAP","A","2017",14596.889676,
"BRA","GDP","TOT","USD_CAP","A","2018",15272.36895,
"LTU","GDP","TOT","USD_CAP","A","2016",30925.151813,
"LTU","GDP","TOT","USD_CAP","A","2017",33761.906595,
"LTU","GDP","TOT","USD_CAP","A","2018",36346.416674,
"LTU","GDP","TOT","USD_CAP","A","2019",38765.028209,
"LTU","GDP","TOT","USD_CAP","A","2020",38885.020866,
"SAU","GDP","TOT","USD_CAP","A","2016",46289.737315,
"SAU","GDP","TOT","USD_CAP","A","2017",47862.022249,
"SAU","GDP","TOT","USD_CAP","A","2018",49173.934204,
"SAU","GDP","TOT","USD_CAP","A","2019",49112.515085,
"EA19","GDP","TOT","USD_CAP","A","2016",43562.937373,
"EA19","GDP","TOT","USD_CAP","A","2017",45623.32978,
"EA19","GDP","TOT","USD_CAP","A","2018",47548.117268,
"EA19","GDP","TOT","USD_CAP","A","2019",49215.967941,
"EA19","GDP","TOT","USD_CAP","A","2020",46392.995234,
"ARG","GDP","TOT","USD_CAP","A","2016",20307.870053,
"ARG","GDP","TOT","USD_CAP","A","2017",23597.117759,
"ARG","GDP","TOT","USD_CAP","A","2018",23313.817947,
"ARG","GDP","TOT","USD_CAP","A","2019",23040.287954,
"CRI","GDP","TOT","USD_CAP","A","2016",19119.336147,
"CRI","GDP","TOT","USD_CAP","A","2017",20368.230268,
"CRI","GDP","TOT","USD_CAP","A","2018",20988.161555,"E"
"CRI","GDP","TOT","USD_CAP","A","2019",21759.381303,"E"
"BGR","GDP","TOT","USD_CAP","A","2016",20019.638626,
"BGR","GDP","TOT","USD_CAP","A","2017",21387.279564,
"BGR","GDP","TOT","USD_CAP","A","2018",22911.128872,
"BGR","GDP","TOT","USD_CAP","A","2019",24579.331314,
"HRV","GDP","TOT","USD_CAP","A","2016",24887.753281,
"HRV","GDP","TOT","USD_CAP","A","2017",26765.579327,
"HRV","GDP","TOT","USD_CAP","A","2018",28533.220285,
"HRV","GDP","TOT","USD_CAP","A","2019",30231.248656,"P"
"CYP","GDP","TOT","USD_CAP","A","2016",35719.036739,
"CYP","GDP","TOT","USD_CAP","A","2017",38050.911642,
"CYP","GDP","TOT","USD_CAP","A","2018",40476.556692,
"CYP","GDP","TOT","USD_CAP","A","2019",41514.945576,"P"
"MLT","GDP","TOT","USD_CAP","A","2016",39859.419748,
"MLT","GDP","TOT","USD_CAP","A","2017",42598.933746,
"MLT","GDP","TOT","USD_CAP","A","2018",44427.223626,
"MLT","GDP","TOT","USD_CAP","A","2019",46704.582863,
"ROU","GDP","TOT","USD_CAP","A","2016",24266.283962,
"ROU","GDP","TOT","USD_CAP","A","2017",27136.07319,
"ROU","GDP","TOT","USD_CAP","A","2018",29244.574126,
"ROU","GDP","TOT","USD_CAP","A","2019",32293.146149,"P"
"MKD","GDP","TOT","USD_CAP","A","2016",15137.967397,"E"
"MKD","GDP","TOT","USD_CAP","A","2017",15706.430869,"E"
"MKD","GDP","TOT","USD_CAP","A","2018",16725.791726,"E"
"ZMB","GDP","TOT","USD_CAP","A","2016",3405.832772,
"ZMB","GDP","TOT","USD_CAP","A","2017",3484.940724,
"ZMB","GDP","TOT","USD_CAP","A","2018",3637.368088,
"HKG","GDP","TOT","USD_CAP","A","2016",57221.969152,"E"
"HKG","GDP","TOT","USD_CAP","A","2017",59846.819225,"E"
"HKG","GDP","TOT","USD_CAP","A","2018",62556.2405,"E"
"MDG","GDP","TOT","USD_CAP","A","2016",1624.383829,"E"
"MDG","GDP","TOT","USD_CAP","A","2017",1601.521574,"E"
"MDG","GDP","TOT","USD_CAP","A","2018",1655.481656,"E"
"MAR","GDP","TOT","USD_CAP","A","2016",7312.810289,"E"
"MAR","GDP","TOT","USD_CAP","A","2017",7581.215412,"E"
"MAR","GDP","TOT","USD_CAP","A","2018",7928.326114,"E"
"SGP","GDP","TOT","USD_CAP","A","2016",89396.724443,
"SGP","GDP","TOT","USD_CAP","A","2017",94945.250892,
"SGP","GDP","TOT","USD_CAP","A","2018",101280.413499,
"EU27_2020","GDP","TOT","USD_CAP","A","2016",39172.901704,
"EU27_2020","GDP","TOT","USD_CAP","A","2017",40728.833216,
"EU27_2020","GDP","TOT","USD_CAP","A","2018",42055.349198,
"EU27_2020","GDP","TOT","USD_CAP","A","2019",43355.51382,
"EU27_2020","GDP","TOT","USD_CAP","A","2020",41264.592773,
